Region,Type,SubscriptionName,SubscriptionConditn,SubscriptionPrice
UK,1,Sky Multiscreen,Sky Subscribers,12
UK,1,Sky Plus Subscription,Freesat From Sky,10
UK,1,Sky Talk Line Rental,Sky Subscribers,17.4
UK,1,Sky Talk International Extra,Sky Subscribers,12
UK,1,Sky Talk Evening and Weekends Extra,Sky Subscribers,4
UK,1,Sky Talk Anytime Extra,Sky Subscribers,8
UK,1,Sky Fibre,Sky Subscribers,10
UK,1,Sky Fibre Unlimited,Sky Subscribers,20
UK,1,Sky Fibre Unlimited Pro,Sky Subscribers,30
UK,1,Sky Broadband Connect,Sky Subscribers,17
UK,1,Sky Broadband Unlimited,Sky Subscribers from 07 July 2015,10
UK,1,Sports HD Subscription,HD Pack,12
UK,1,Sports HD Subscription - Family Pack Subscribers,HD Pack,6
UK,1,Legacy Sky Talk Super Unlimited,Legacy Sky Talk Package,15
UK,1,Legacy Sky Talk Anytime UK,Legacy Sky Talk Package,5
UK,1,Legacy Sky Talk Anytime International,Legacy Sky Talk Package,10
UK,1,Legacy Sky Talk Anytime,Legacy Sky Talk Package,5
UK,1,Legacy Sky Talk 24-7 International,Legacy Sky Talk Package,5
UK,1,Legacy Sky Talk 24-7,Legacy Sky Talk Package,5
UK,1,Legacy Sky Broadband Unlimited,Legacy Pricing,7.5
